name,link,rank
PSG.LGD,/teams/15,1567
Team Secret,/teams/1838315,1561
INVICTUS GAMING,/teams/5,1496
Nigma,/teams/7554697,1429
CDEC ,/teams/1520578,1392
Fnatic,/teams/350190,1391
EHOME,/teams/4,1376
Royal Never Give Up,/teams/6209804,1373
Vici Gaming,/teams/726228,1368
Scenario,/teams/166,1367
FlyToMoon,/teams/6953913,1355
Team Liquid,/teams/2163,1345
VP.Prodigy,/teams/7819701,1339
Virtus.pro,/teams/1883502,1329
Sparking Arrow Gaming,/teams/7407260,1316
BOOM Esports,/teams/7732977,1314
Geek Fam,/teams/3586078,1309
Quincy Crew,/teams/7390454,1307
OG,/teams/2586976,1304
Team Empire Hope,/teams/6409189,1299
Team Aster,/teams/6209166,1297
Alliance,/teams/111474,1293
ViKin.gg,/teams/6685591,1286
Chicken Fighters !,/teams/7553952,1284
Chaos EC,/teams/7203342,1283
boths try again,/teams/5167450,1273
OG.Seed,/teams/7555613,1263
Neon Esports,/teams/6187657,1252
business associates,/teams/7681441,1247
Quincy Crew,/teams/7806386,1243
Thunder Predator,/teams/6382242,1228
NoPing Esports,/teams/7298091,1217
Evil Geniuses,/teams/39,1217
Natus Vincere,/teams/36,1210
Aggressive Mode,/teams/7653600,1202
4 Zoomers,/teams/7819028,1199
TNC Predator,/teams/2108395,1198
Ninjas in Pyjamas,/teams/6214973,1195
MOTIVADE.TRUST GAMING,/teams/7667536,1195
Newbee,/teams/1375614,1194
Team Sirius,/teams/7059982,1194
Cow boys,/teams/7959677,1193
KEEN GAMING,/teams/2626685,1192
ARMY GENIUSES,/teams/7623629,1181
HellRaisers,/teams/7422789,1181
T1,/teams/7424172,1180
Adroit,/teams/7098928,1174
 EXTREMUM,/teams/7542148,1174
Dota Hero,/teams/7977167,1171
CR4ZY,/teams/7748744,1163
One More Game,/teams/8022392,1162
Athletico,/teams/5895083,1159
Lowkey,/teams/7359917,1154
BOOM ID,/teams/3785359,1152
paiN Gaming,/teams/67,1151
Avengers,/teams/7586931,1151
Whoops!,/teams/7316976,1150
Panda Gaming,/teams/7612347,1149
Clcombat Team,/teams/7716206,1149
Infamous Young,/teams/5992560,1148
Team Unique,/teams/7820540,1144
iG.Vitality,/teams/2640025,1139
Infamous Gaming,/teams/2672298,1137
Aggressive Mode.,/teams/7641673,1134
NOVA,/teams/7848119,1133
Neets Uprising,/teams/7731375,1131
Nemiga Gaming,/teams/5014799,1131
Team Spirit,/teams/7119388,1128
infinite tsukuyomi,/teams/7574786,1128
Team Singularity,/teams/6711290,1128
Fighting PandaS,/teams/7483893,1128
New Esports,/teams/8021940,1128
Yolo Knight,/teams/7822261,1127
Yangon Galacticos,/teams/7653080,1125
Black Knight,/teams/7443956,1124
Team Oracle.YOUTH,/teams/7498762,1122
Team Cosy,/teams/7356597,1120
FAMILY TEAM,/teams/7930695,1119
0-900,/teams/6266565,1118
EGOBOYS,/teams/7893914,1118
Proxima E-Sports,/teams/1949879,1117
Dark Sided,/teams/6904952,1117
beastcoast,/teams/7441136,1117
Photon Gaming,/teams/7034601,1115
Revenge Gaming,/teams/7101255,1114
"Team ""ENEMY""",/teams/6350308,1113
Reverse Heaven,/teams/7847691,1111
top1sng,/teams/7153614,1109
miaww^^,/teams/7894580,1108
XDS,/teams/5681778,1107
Holy Masters,/teams/7599541,1105
Cyber Legacy,/teams/7669103,1105
Sincerely Fury,/teams/7802708,1104
Winstrike Team,/teams/7118032,1104
Flash Point Gaming,/teams/7204148,1101
Arassa Deniz,/teams/7655250,1100
Team Strawberry,/teams/7485273,1098
eu vou estudo,/teams/7958190,1098
CR,/teams/7849151,1098
Team Serenity,/teams/5066616,1097
