lost,opponent,o_rank
False,iG.Vitality,1139
True,iG.Vitality,1139
False,iG.Vitality,1139
False,Blaze,1083
False,Blaze,1083
False,Typhoon,928
False,Typhoon,928
True,BOOM Esports,1314
True,BOOM Esports,1314
False,TNC Predator,1198
True,TNC Predator,1198
False,TNC Predator,1198
False,TNC Predator,1198
True,Fnatic,1391
True,Fnatic,1391
False,TNC Predator,1198
True,Dota Hero,1171
False,Ocean,1000
False,Ocean,1000
False,BOOM Esports,1314
True,BOOM Esports,1314
True,TNC Predator,1198
False,TNC Predator,1198
False,Dota Hero,1171
True,Dota Hero,1171
